Practice Name,Dentist Name,City,Website,Email,Phone,Score,Main Weakness,Detailed Observation,Online Booking,Mobile Friendly,Priority,Personalized Outreach Hook
Amodent Zahnärzte,Not listed,Graz,http://amodent.at/,Not available,+43 316 32 34 75,9,No HTTPS - SSL certificate mismatch,Website served over HTTP with SSL certificate error (cert for a1webhosting.at). Indicates neglected hosting setup. Terminanfragen only per Telefon - no online booking. Website appears to use basic hosting with no modern security.,No,No,High,"Ihre Website zeigt einen Sicherheitsfehler (SSL-Zertifikat stimmt nicht überein) – das schreckt potenzielle Patienten ab und wird von Google abgestraft."
Ordination Dr. Walcher,Dr. Walcher,Salzburg,http://www.ordination-walcher.at/,Not available,Not available,9,No HTTPS and minimal web presence,"Website runs on HTTP only (no SSL). Very minimal content visible in search results - just address ""Adolf-Altmann-Str. 30 5020 Salzburg"". No modern design elements apparent. No online booking.",No,No,High,"Ihre Website läuft ohne HTTPS-Verschlüsselung – Google markiert sie als ""nicht sicher"" und Patienten verlieren Vertrauen."
Innsmile Zahnarzt,Not listed,Innsbruck,http://www.innsmile.at/,praxis@innsmile.at,+43 512 573511,8,No HTTPS and outdated single-page design,"HTTP-only website with very basic single-page layout. Shows ""Edit Content"" text in the visible source suggesting template builder issues. Limited content with brief ""Über Uns"" and ""Leistungen"" sections. Contact only during limited hours (Mo-Fr 9-12).",No,No,High,"Ihre Website zeigt ""Edit Content""-Text und läuft ohne SSL – ein professioneller Neuauftritt würde Ihre moderne Praxis besser repräsentieren."
DDr. Heinz-Dieter Müller,DDr. Heinz-Dieter Müller PhD,Linz,http://zahnarzt-mueller-linz.at/,Not available,+43 732 302066,9,No HTTPS and very basic presence,"HTTP-only website. Minimal content visible - only phone number shown. No apparent online booking system. Domain suggests a long-established practice that hasn't updated web presence. No modern features visible.",No,No,High,"Ihre Website hat keine SSL-Verschlüsselung und wirkt sehr minimalistisch – eine moderne Praxis-Website mit Online-Terminbuchung könnte Ihre Patientenakquise deutlich verbessern."
Dr. Maximilian Negrin,Dr. Maximilian Negrin,Innsbruck,http://www.dr-negrin.at/,Not available,Not available,9,No HTTPS with SSL cert mismatch,"HTTP website with SSL certificate mismatch error. Practice founded in 1980 - website likely equally dated. No modern web presence indicators. Certificate error prevents any secure access.",No,No,High,"Ihre Website ist aufgrund eines SSL-Zertifikatfehlers für viele Browser nicht erreichbar – potenzielle Neupatienten können Ihre Seite nicht aufrufen."
Dr. Hotico Zahnarzt 1160,Dr. Hotico,Wien,https://zahnarzt1160.weebly.com/,Not available,Not available,9,Free Weebly hosting - extremely unprofessional,"Practice website hosted on free Weebly platform with visible weebly.com subdomain. This signals unprofessionalism to patients. Very limited customization possible. No custom domain. Published date suggests 2024 setup but already looks dated.",No,No,High,"Ihre Praxis-Website ist auf der kostenlosen Weebly-Plattform gehostet – ein eigener professioneller Webauftritt würde deutlich mehr Vertrauen schaffen."
Dr. Ravnik Zahnarzt,Dr. Ravnik,St. Pölten area,https://zahnarzt-ravnik.sta.io/,Not available,Not available,8,Free sta.io builder platform,"Website hosted on sta.io free builder platform - not a professional web presence. Very minimal content. No custom domain. No apparent online booking or modern features.",No,No,High,"Ihre Praxis nutzt eine kostenlose Website-Plattform (sta.io) – eine eigene professionelle Website würde Ihre Praxis viel besser repräsentieren."
Ordination Dr. Schwinner,Dr. Schwinner,Wien (1200),https://www.zahnarzt-wien-1200.at/,praxis@zahnarzt-schwinner.at,+43 1 332 42 88,7,Outdated design and no online booking,"Website has basic structure. Termin only via telephone. Listed as ""Alle Kassen"". Hours listed suggest traditional practice. Content mentions Zahnärztekammer Notdienstliste. No modern interactive features or online booking system.",No,Partially,High,"Ihre Website bietet keine Online-Terminanfrage – viele Patienten erwarten heute die Möglichkeit, Termine bequem online zu buchen."
Zahnarzt Dr. Futter,Dr. Matthias Futter,Wien,https://zahnarzt-dr-futter.com/,zahnarzt.futter@gmail.com,+43 699 15359188,7,Gmail business email and basic site,"Using personal Gmail for professional practice. Mobile-only phone number suggests small practice. Basic website without modern features. Published 2023 but minimal web footprint.",No,Partially,Medium,"Die Verwendung einer Gmail-Adresse statt einer professionellen Praxis-Email wirkt nicht vertrauenswürdig – wir können das gemeinsam mit einem neuen Webauftritt lösen."
Edler Zahn Zahnarzt 1010,Not listed,Wien (1010),https://www.edler-zahn.at/,Not available,+43 1 533 20 12,7,Outdated presence and encoding issues,"Search snippet shows encoding issues (question mark characters). Tagline ""Wir machen Ihre Zähne edler"" suggests older marketing approach. Published date from 2021. Alle Kassen practice in prime 1st district location deserves better web presence.",No,Partially,Medium,"Ihre Website zeigt Zeichenkodierungsfehler in den Suchergebnissen – das vermittelt einen unprofessionellen Eindruck bei Google-Suchenden."
Dr. Lucian Petrascu,Dr. Lucian Petrascu,Graz,https://zahnarzt-am-hauptplatz.at/,Not available,Not available,7,Minimal web presence,"Very minimal search snippet - just ""ZAHNARZTPRAXIS GRAZ Dr."" No detailed content visible. Prime location (Hauptplatz) but minimal online presence. No apparent online booking or modern features.",No,Partially,Medium,"Ihre Praxis am Hauptplatz hat eine Top-Lage – aber Ihre Website spiegelt das nicht wider. Ein moderner Webauftritt würde mehr Laufkundschaft online anziehen."
Zahnarzt am Ring Baden,Not listed,Baden (NÖ),https://zahnarztamring.at/,info@zahnarztamring.at,Not available,7,Basic web presence,"Published 2025 but minimal search presence. Only email visible in snippets. Baden bei Wien is affluent area where patients expect premium web experience.",No,Partially,Medium,"Ihre Praxis in der wohlhabenden Kurstadt Baden verdient einen Premium-Webauftritt der zu Ihrem Standort und Ihrer Klientel passt."
Dr. Masic-Redinger Zahnarzt,Dr. Masic-Redinger,Wien (1090),https://fmr-zahn.at/,Not available,Not available,7,No online booking and basic layout,"Website primarily shows Stornorichtlinien and address info. Recent address change suggests active practice. No visible online booking. Emphasis on phone scheduling and strict cancellation policy. Basic informational website.",No,Partially,Medium,"Ihre Website fokussiert auf Stornorichtlinien statt auf die Vorteile Ihrer Behandlung – ein einladender Webauftritt mit Online-Buchung würde mehr Neupatienten gewinnen."
Dr. Tamara Hanser,Dr. Tamara Hanser,Kärnten,http://dr-hanser.com/,Not available,Not available,8,HTTP only and dated image references,"HTTP-only website. Source shows old image paths (2012/09/Slide-3) suggesting site hasn't been updated in over a decade. No modern features or online booking.",No,No,High,"Ihre Website enthält Bildreferenzen aus 2012 und läuft ohne HTTPS – ein kompletter Neuaufbau würde Ihre Praxis zeitgemäß präsentieren."
Dr. Körner Zahnarzt,Dr. Körner,Klagenfurt,http://dr-koerner.at/,Not available,Not available,8,HTTP only website,"HTTP-only dental practice website in Klagenfurt. Focus on aesthetic dentistry and oral surgery. No HTTPS security. No apparent online booking system.",No,No,High,"Ihre Website für ästhetische Zahnheilkunde läuft ohne SSL-Verschlüsselung – gerade bei Premium-Leistungen erwarten Patienten eine sichere, moderne Website."
DesignYourSmile Klagenfurt,Dr. Matthias Gabriel / DDr. Astrid Fiedler,Klagenfurt,http://designyoursmile.at/,Not available,+43 463 (partial),8,HTTP only for aesthetic dentistry practice,"HTTP-only website for implantology and aesthetic dental practice. Focus on Angstpatienten (anxiety patients). No HTTPS despite dealing with sensitive patient information. Premium services deserve premium web presence.",No,No,High,"Als Praxis für Angstpatienten und Implantologie brauchen Sie eine vertrauenswürdige, sichere Website – HTTPS und modernes Design sind dabei essentiell."
Zahnarzt Hallein Dr. Bachmayer,Dr. Martha L. Bachmayer,Hallein (Salzburg),https://www.zahnarzt-hallein.at/,Not available,Not available,7,Basic wix/builder site,"Website appears to use page builder with map page as landing. ZFD - ÖZAK Implantologie certified but website doesn't reflect expertise level. Basic structure.",No,Partially,Medium,"Ihre Spezialisierung auf Implantologie verdient eine Website die Ihre Expertise und Zertifizierungen prominent präsentiert."
Dr. Roswitha Mayr,Dr. Roswitha Mayr,Steyr,https://www.zahnarztpraxis-steyr.at/,Not available,+43 7252 54045,7,Outdated slider-based design,"Website uses outdated button-slider format typical of 2010-era design. Multiple generic service boxes. No online booking - calls for phone appointment. Text-heavy without modern visual hierarchy.",No,Partially,Medium,"Ihre Website nutzt ein veraltetes Slider-Design aus den 2010er Jahren – eine moderne Gestaltung würde Ihre umfangreichen Leistungen besser hervorheben."
DDr. Matthias Mühlvenzl,DDr. Matthias Mühlvenzl,Berndorf (NÖ),https://zahnarzt-berndorf.at/,info@zahnarzt-berndorf.at,Not available,6,Basic informational site,"Alle Kassen & Privat practice. Basic website with opening hours and services listed. No online booking. Plain design without modern trust elements.",No,Partially,Medium,"Ihre Praxis bietet Alle Kassen und Privat – eine moderne Website mit Online-Terminbuchung würde beiden Patientengruppen entgegenkommen."
Dr. Ilona Bondar,Dr. Ilona Bondar,Graz,https://www.zahnarzt-bondar.at/,office@zahnarzt-bondar.at,+43 316 71 22 22,6,Basic web presence without modern features,"Basic website with contact information. No apparent online booking system. Standard design without differentiating features.",No,Partially,Medium,"Eine moderne Website mit Teamfotos und Patientenbewertungen würde Vertrauen aufbauen und Sie von anderen Grazer Praxen abheben."
Dr. med. dent. Christina Bergmüller,Dr. Christina Bergmüller,Salzburg,https://www.zahn-riedenburg.at/,ordination@zahn-riedenburg.at,+43 662 841 684,6,Minimal website with cookie focus,"Search snippet dominated by cookie consent text rather than practice information. Minimal content visible. Leopoldskronstraße 4A/1B address in Salzburg.",No,Partially,Medium,"Der erste Eindruck Ihrer Website wird von einem Cookie-Banner dominiert – Patienten sollten sofort Ihre Leistungen und Ihr Team sehen."
DDr. Karin Marcher & Dr. Christian Marcher,DDr. Karin Marcher,Gablitz (NÖ),https://www.marcher-zahnarzt.at/,office@marcher-zahnarzt.at,+43 2230 8940,6,Comprehensive but outdated design,"Website has good content structure (Prophylaxe Ästhetische Zahnheilkunde Wurzelbehandlungen etc.) but design appears dated. Published 2023 suggesting recent update but still has older feel. No online booking visible.",No,Partially,Medium,"Ihre Website hat gute Inhalte aber das Design wirkt veraltet – ein modernes Redesign würde Ihre umfangreichen Leistungen zeitgemäß präsentieren."
Zahnarzt Pyhra Dr. Plattner,Dr. Annika Plattner,Pyhra (NÖ),https://zahnarzt-pyhra.at/,ordination@zahnarzt-pyhra.at,Not available,7,Basic rural practice website,"Small-town dental practice with basic website. No apparent online booking. Rural location means less competition but also less awareness of modern web standards.",No,Partially,Medium,"Als Zahnarztpraxis in einer ländlichen Gemeinde können Sie mit einer modernen Website und Online-Terminbuchung einen echten Wettbewerbsvorteil schaffen."
Dr. Wiedemann & Dr. Krnjic,Dr. Wiedemann / Dr. Krnjic,Salzburg,https://www.zahnwk.com/,Not available,+43 662 87 43 61,5,Good content but older design approach,"Website has comprehensive content about services and philosophy. Long text blocks without modern visual hierarchy. Good practice description but could benefit from modern design and booking features.",No,Yes,Low,"Ihre Praxis-Philosophie ist überzeugend beschrieben – ein modernes Design mit visueller Hierarchie würde diese Stärken noch besser zur Geltung bringen."
Zahnarzt Fritz,Not listed,Vorarlberg,https://www.zahnarzt-fritz.at/,ordination@zahnarzt-fritz.at,+43 5557 2333,7,Very minimal web presence,"Extremely minimal website with just phone number and fax visible. No modern features. Vorarlberg location.",No,No,Medium,"Ihre Website zeigt praktisch nur Ihre Telefonnummer – eine informative Praxis-Website würde Patienten von Ihrer Kompetenz überzeugen bevor sie anrufen."
Dr. Striessnig Bernd,Dr. Bernd Striessnig,Oberösterreich,https://www.striessnig.net/,Not available,Not available,7,Basic Bestellpraxis website,"Uses .net domain (unusual for dental practice). Mentions Bestellpraxis (appointment-only) organization but no online booking system. Basic web presence.",No,Partially,Medium,"Sie betreiben eine Bestellpraxis – ein Online-Buchungssystem würde Ihren Workflow optimieren und Patienten die Terminvereinbarung erleichtern."
Dr. Eberwein-Lach,Dr. Eberwein-Lach,Köttmannsdorf (Kärnten),https://dr-eberwein.at/,Not available,Not available,7,Minimal rural practice website,"Very minimal web presence. Only postal code 9071 Köttmannsdorf visible. Rural Kärnten location. No modern features apparent.",No,No,Medium,"Ihre ländliche Praxis könnte mit einer modernen Website Patienten aus der gesamten Region Klagenfurt-Land ansprechen."
Dr. Helmut Ehrmann,Dr. Helmut Ehrmann,Innsbruck,http://dr-ehrmann.at/,Not available,Not available,8,HTTP only basic website,"HTTP-only website. Located in Bürgerstraße in city center of Innsbruck. No HTTPS. Basic web presence without modern features.",No,No,High,"Ihre zentrale Lage in der Bürgerstraße verdient eine sichere und moderne Website die neue Innsbrucker Patienten überzeugt."
Zahnmedizin Reindl,Not listed,Wien (1110),https://zahnmedizin-reindl.at/,Not available,Not available,5,Newer site but potential improvements,"Published 2025 - newer website. Wahlarzt practice in 1110 Wien. Describes modern environment. May already be adequate but could still benefit from optimization.",No,Yes,Low,"Ihre moderne Praxisbeschreibung klingt vielversprechend – eine Optimierung der Online-Terminbuchung könnte noch mehr Wahlpatienten anziehen."
Zahnarzt Mallinger,Not listed,Wien (1150),https://zahnarzt-mallinger.at/,Not available,Not available,5,Adequate but improvable,"Published 2025 - relatively new. Describes modern technologies. 15th district location. Could still benefit from enhanced features.",No,Yes,Low,"Ihr Fokus auf fortschrittliche Technologien sollte sich auch in einem technologisch führenden Webauftritt widerspiegeln."
Dr. Golestani,Dr. Sima Sylvia Golestani,Wien (1120),https://zahnarzt-golestani.at/,Not available,Not available,5,Functional but basic,"Published 2025 - newer site. Mentions Umbau (renovation). Alle Kassen practice. Functional but could benefit from modern features.",No,Yes,Low,"Nach Ihrem Praxis-Umbau wäre auch ein frischer Webauftritt der ideale nächste Schritt um neue Patienten anzusprechen."
DDr. Barbara & Dr. Christian Krempl,DDr. Barbara Krempl,Köflach (Steiermark),https://www.drkrempl.at/,Not available,Not available,6,Basic dual-practice website,"Dual-location practice (Köflach). Published 2025. Basic web presence that could benefit from modern features and online booking.",No,Partially,Medium,"Als Praxis mit zwei Standorten könnten Sie mit einer modernen Website und zentralem Buchungssystem beide Ordinationen effizient verwalten."
Dr. Minihold Zahnarztpraxis,Dr. Minihold,Mödling (NÖ),https://www.minihold.at/,Not available,Not available,5,Content marketing but older design,"Active content marketing (TV appearances with Christine Reiler). Published 2025. Has good content but design may be dated.",No,Yes,Low,"Ihre Medienpräsenz mit Christine Reiler ist beeindruckend – eine moderne Website würde diese Autorität noch besser transportieren."
Zahnarzt Sixt,Not listed,Zell am Ziller (Tirol),https://www.zahnarztsixt.at/,ordination@meddentzell.at,+43 5282 2174,7,Basic rural Tirol website,"Rural Tirol dental practice. Basic web presence. Published 2025 but functionality unclear. No apparent online booking for tourist/ski area.",No,Partially,Medium,"In einer Tourismusregion wie Zell am Ziller könnten Sie mit mehrsprachiger Website und Online-Buchung auch Urlaubsgäste als Notfall-Patienten gewinnen."
Ordination Arzl,Not listed,Innsbruck (Arzl),https://www.ordination-arzl.at/,hg@ordination-arzl.at,+43 512 265 938,6,Basic practice website,"Published 2025. Basic ordination website in Innsbruck-Arzl district. Contact info visible but no modern features apparent.",No,Partially,Medium,"Ihre Ordination in Arzl könnte mit einer modernen Website und klarer Leistungsübersicht mehr Patienten aus dem wachsenden Stadtteil gewinnen."
Zahnarzt Linz Mozartkreuzung,Not listed,Linz,https://www.zahnarztlinz.com/,Not available,+43 732 77 24 65,5,Claims modern but basic web presence,"Website claims TOP MODERN Ordination. Alle Kassen und Privat. Central location. Has basic structure but may lack advanced features.",No,Partially,Low,"Sie beschreiben Ihre Ordination als top modern – Ihre Website sollte diesen Anspruch mit einem ebenso modernen Design untermauern."
Dr. Susanne Pultar & Johannes Pultar,Dr. Susanne Pultar / Johannes Pultar,Wien,https://www.zahnarzt-pultar.wien/,ordination@zahnarzt-pultar.wien,+43 1 50 54 128,4,Has online booking - lower priority,"Published 2025. Mentions online booking option. Professional .wien domain. Already has some modern features.",Yes,Yes,Low,"Ihre professionelle .wien-Domain und Online-Buchung sind bereits gut – eine Design-Optimierung könnte die Conversion-Rate weiter steigern."
Zahnarzt Postolovska,Not listed,Wien (1220),https://postolovska.at/,Not available,Not available,6,Basic Donaustadt practice,"Published 2024. Basic website for 1220 Wien practice. Mentions emergency care. Growing district with many new residents looking online for dentists.",No,Partially,Medium,"In der wachsenden Donaustadt suchen tausende neue Bewohner online nach einem Zahnarzt – eine optimierte Website mit starkem SEO wäre Gold wert."
Dr. Dolezal,Dr. Dolezal,Wien,https://dr-dolezal.com/,Not available,Not available,6,Basic presence for implantology specialist,"Implantology specialist with Zahnärztekammer certification. .com domain instead of .at. Basic web presence that doesn't highlight specialization enough.",No,Partially,Medium,"Ihre Implantologie-Spezialisierung verdient eine Website die Ihre Expertise mit Vorher-Nachher-Bildern und Patientenstimmen unterstreicht."
Zahnspange Mödling Dr. Arnold,Dr. Mariella Arnold,Mödling (NÖ),https://www.zahnspange-moedling.at/,praxis@zahnspange-moedling.at,+43 2236 86 91 45,5,Orthodontics-focused but could improve,"Has 3D scanner mentioned. Orthodontics specialist. Website has some modern elements but could be enhanced.",No,Partially,Low,"Ihre 3D-Scanner-Technologie ist ein starkes Differenzierungsmerkmal – eine moderne Website mit interaktiven Vorher-Nachher-Vergleichen würde das noch besser vermitteln."
DentBlanche Dr. Engel,Dr. Simone Engel,Velden/Villach (Kärnten),https://www.dentblanche.at/,Not available,Not available,5,Multi-location but basic design,"Covers Villach/Klagenfurt/Pörtschach/Feldkirchen area. Focus on Angstpatienten and Narkosebehandlung. Has broad reach but website design unclear.",No,Partially,Low,"Ihre breite regionale Abdeckung in Kärnten und Ihr Fokus auf Angstpatienten sind starke USPs – eine moderne Website könnte diese viel besser kommunizieren."
Ordination Pötscher,Not listed,Linz,http://www.ordination-poetscher.at/,Not available,+43 732 71 77 71,8,HTTP only website in Linz,"HTTP-only website. Hauserstraße 12 in 4040 Linz. No HTTPS security. Minimal web presence.",No,No,High,"Ihre Website läuft ohne SSL-Verschlüsselung – moderne Browser warnen Patienten vor dem Besuch unsicherer Seiten."
Bleaching Vorarlberg,Not listed,Vorarlberg,https://bleaching-zahnaufhellung-vorarlberg.at/,Not available,Not available,7,Single-service landing page from 2023,"Published 2023. Single-service focused website (bleaching only). Long domain name. Could be part of larger practice needing comprehensive website.",No,Partially,Medium,"Ihre Bleaching-Spezialseite ist ein guter Anfang – eine umfassende Praxis-Website würde Ihr gesamtes Leistungsspektrum präsentieren."
Dr. Hartmann prodent Wien-Hietzing,Dr. Thomas Hartmann,Wien (Hietzing),http://www.zahnarzt-hietzing.at/,Not available,Not available,8,HTTP only in affluent district,"HTTP-only website in affluent Hietzing district. Practice founded 1982. English-language snippet suggests international patients. No HTTPS for upscale practice area.",No,No,High,"Ihre Praxis in Hietzing bedient auch internationale Patienten – eine sichere mehrsprachige Website mit Online-Terminbuchung wäre hier essentiell."
Zahnarzt Moro,Not listed,Klagenfurt,http://zahnarzt-moro.at/,Not available,Not available,8,HTTP only with minimal web presence,"HTTP-only website with very low estimated traffic and value. Minimal web presence for Klagenfurt practice.",No,No,High,"Ihre Website hat minimale Online-Sichtbarkeit – eine professionelle SEO-optimierte Website würde deutlich mehr Klagenfurter Patienten erreichen."
Zahnregulierung Klagenfurt,Not listed,Klagenfurt,https://zahnregulierung-klagenfurt.at/,Not available,Not available,7,Low-traffic basic orthodontics site,"Very low estimated traffic and value. Basic orthodontics website in Klagenfurt. Minimal online presence.",No,Partially,Medium,"Ihre Zahnregulierungs-Praxis könnte mit modernem Webdesign und Vorher-Nachher-Galerien viel mehr Patienten in Klagenfurt ansprechen."
DrKohlmaier Zahnärztin,Dr. Barbara Cijan-Kohlmaier,Klagenfurt,https://drkohlmaier.at/,Not available,Not available,6,Basic presence for anxiety-friendly practice,"Focus on comfortable dental experience. Moderate traffic. Could benefit from enhanced trust elements and online booking.",No,Partially,Medium,"Ihr Fokus auf entspanntes Zahnarzt-Erlebnis ist ein tolles Alleinstellungsmerkmal – eine beruhigende moderne Website würde dieses Versprechen visuell unterstützen."
